Location,Year,Loc_yr,Treat,MAP,PAR_Above$umol.m-2.s-1,PAR_Below$umol.m-2.s-1,Tau,Beam_Frac_FB,Z_Angle,leaf_angle_distr,kext,LAI,FLI,ln_FLI,FLI_pcent
Benue,2016,Benue_2016,NFPFK0,4,1579.05,1149.016667,0.726333333,0.533333333,24.44444444,1.423339844,0.653114902,0.44693216,0.272336742,0.317916896,27.23367423
Benue,2016,Benue_2016,NFPFK1,4,1850.066667,1445.322222,0.778,0.833333333,21.41666667,1.552929085,0.670975001,0.389078212,0.218772897,0.246889387,21.87728973
Benue,2016,Benue_2016,NFPFK2,4,1264.322222,979.85,0.764888889,0.686666667,23.66666667,1.47553816,0.661342546,0.394374112,0.22499978,0.254891966,22.49997802
Benue,2016,Benue_2016,NFPFK3,4,1680.188889,1302.955556,0.777333333,0.647222222,24.66666667,1.631910766,0.69227709,0.355447286,0.224518407,0.254271032,22.45184071
Benue,2016,Benue_2016,NFPFK4,4,1877.194444,1372.161111,0.729944444,0.7525,24.5,1.479166667,0.66421357,0.474556779,0.269036239,0.313391395,26.9036239
Benue,2016,Benue_2016,NFPFKF,4,1597.422222,1178.361111,0.730888889,0.725555556,24.27777778,1.508682329,0.669242613,0.464981573,0.262335847,0.304266635,26.23358466
Benue,2016,Benue_2016,NFPFKFMN,4,1702.811111,1152.716667,0.678111111,0.824444444,24.77777778,1.443279314,0.658004127,0.608869995,0.323050772,0.390159004,32.3050772
Benue,2016,Benue_2016,NOTFR,4,1827.494444,1303.366667,0.712444444,0.787222222,23.22222222,1.684495192,0.697979534,0.50038092,0.286801297,0.337995212,28.68012971
Benue,2016,Benue_2016,NOTHR,4,1844.972222,1445.733333,0.782055556,0.764444444,23.27777778,1.827312139,0.720629486,0.351799651,0.2163929,0.243847532,21.63928997
Benue,2016,Benue_2016,CONTROL,10,1555.411111,670.0222222,0.430833333,0.463888889,27.77777778,2.65483871,0.818762489,1.056216278,0.569231429,0.84218429,56.92314286
Benue,2016,Benue_2016,N0PFKF,10,1734.722222,625.7666667,0.365888889,0.710555556,29.72222222,2.523923445,0.810788405,1.31486826,0.639269816,1.019625012,63.92698158
Benue,2016,Benue_2016,NFP0KF,10,1731.816667,461.6555556,0.269777778,0.721666667,28.38888889,2.441314554,0.801395301,1.729199519,0.733427005,1.322107171,73.34270051
Benue,2016,Benue_2016,NFPFK0,10,1526.388889,557.6,0.335944444,0.489444444,28.77777778,2.641078838,0.819022825,1.372581408,0.634693358,1.007018162,63.46933576
Benue,2016,Benue_2016,NFPFK1,10,1181.255556,288.6611111,0.236944444,0.615555556,31,2.266791045,0.789435754,1.878015797,0.755631955,1.409079808,75.56319548
Benue,2016,Benue_2016,NFPFK2,10,1269.911765,374.3823529,0.310588235,0.691666667,19.58333333,2.516917293,0.797973428,1.538269946,0.705190263,1.221425092,70.51902634
Benue,2016,Benue_2016,NFPFK3,10,1605.805556,423.05,0.269888889,0.377777778,29.83333333,2.283333333,0.788785955,1.642672839,0.736549672,1.333890438,73.65496723
Benue,2016,Benue_2016,NFPFK4,10,1072.844444,323.1388889,0.290666667,0.629444444,29.83333333,2.163636364,0.776326069,1.62987609,0.698801732,1.199986532,69.88017315
Benue,2016,Benue_2016,NFPFKF,10,1430.277778,306.8944444,0.206722222,0.529444444,32.72222222,2.426829268,0.807843288,2.005321464,0.785430181,1.539120096,78.54301807
Benue,2016,Benue_2016,NFPFKFMN,10,1705.244444,336.9777778,0.196777778,0.310833333,38.41666667,2.255,0.807415352,2.009284964,0.802387406,1.621446761,80.23874061
Benue,2016,Benue_2016,NOTFR,10,1619.955556,543.1611111,0.345277778,0.534444444,28.33333333,2.398214286,0.797311314,1.361199484,0.664706165,1.092748012,66.47061649
Benue,2016,Benue_2016,NOTHR,10,1421.1,538.0222222,0.369611111,0.611111111,31.38888889,2.444700461,0.806815306,1.283099357,0.621404389,0.971286634,62.14043894
Benue,2016,Benue_2016,CONTROL,12,1655.411111,674.0222222,0.404,0.463888889,27.77777778,1.617918314,0.697947064,1.204916995,0.592836959,0.898541581,59.28369589
Benue,2016,Benue_2016,N0PFKF,12,1834.722222,629.7666667,0.345833333,0.710555556,29.72222222,1.935005701,0.749166884,1.457373292,0.656750946,1.069298991,65.67509462
Benue,2016,Benue_2016,NFP0KF,12,1831.816667,465.6555556,0.255,0.721666667,28.38888889,1.565500407,0.690962883,1.981687151,0.745795764,1.369617258,74.57957644
Benue,2016,Benue_2016,NFPFK0,12,1626.388889,561.6,0.315722222,0.489444444,28.77777778,1.640861328,0.704560506,1.537709835,0.654695132,1.063327578,65.46951324
